words,numerical,user_id,next_words
.js,1,,"[""jest"",""ma"",""działa"",""może""]"
ai,1,,"[""jest"",""może"",""ma"",""robi"",""pomaga""]"
AI,1,,"[""jest"",""może"",""ma"",""robi""]"
ale,1,,"[""potem"",""jednak"",""chyba"",""może"",""serio""]"
api,17,,"[""zwraca"",""daje"",""obsługuje"",""łączy""]"
aplikacja,15,,"[""działa"",""ma"",""będzie"",""powinna""]"
backend,16,,"[""obsługuje"",""ma"",""łączy"",""zarządza""]"
bardzo,1,,"[""dobrze"",""źle"",""fajnie"",""dziwnie"",""szybko""]"
baza,18,,"[""danych"",""ma"",""przechowuje"",""trzyma""]"
będą,1,,"[""bardzo"",""tam"",""tu"",""później""]"
bo,1,,"[""to"",""tak"",""nie"",""jest"",""było"",""chcę"",""według mnie"",""wtedy"",""po prostu""]"
były,1,,"[""bardzo"",""trochę"",""tam"",""wcześniej""]"
chcę,1,,"[""zrobić"",""zobaczyć"",""spróbować"",""kupić"",""znaleźć"",""sprawdzić"",""nauczyć się"",""napisać"",""stworzyć"",""ogarnąć""]"
chyba,1,,"[""tak"",""nie"",""może"",""to"",""raczej""]"
co,1,,"[""to"",""robisz"",""myślisz"",""chcesz"",""teraz"",""tam"",""tam słychać?%e""]"
cześć,1,,"[""jak tam?%e"",""co tam słychać?%e"",""co masz na myśli?%e"",""jak tam pogoda?%e""]"
daje,41,,"[""dane"",""odpowiedź"",""wynik"",""info""]"
dane,1,,"[""są"",""były"",""będą"",""mogą"",""ważne"",""w"",""w bazie"",""są przechowywane"",""są przechowywane w bazie danych""]"
danych,19,,"[""jest"",""dużo"",""mało"",""sporo""]"
dlaczego,1,,"[""to"",""tak"",""jest"",""się"",""nie"",""ty"",""właśnie""]"
dlatego,1,,"[""że"",""tak"",""właśnie"",""więc""]"
dobrze,1,,"[""się"",""to"",""jest"",""chyba""]"
działa,25,,"[""dobrze"",""szybko"",""ok"",""świetnie""]"
dzisiaj,27,,"[""robię"",""pracuję"",""uczę"",""odpoczywam""]"
fajne,32,,"[""bo"",""jest"",""ma"",""działa""]"
fajnie,1,,"[""że"",""to"",""jest"",""bardzo""]"
format,44,,"[""json"",""tekstu"",""danych"",""api""]"
gdzie,1,,"[""jest"",""to"",""mogę"",""znaleźć"",""można"",""znajdę"",""dokładnie""]"
gra,1,,"[""jest"",""była"",""będzie"",""ma"",""fajna""]"
grać,1,,"[""w"",""na"",""z"",""razem"",""czasami"",""często""]"
gram,10,,"[""w"",""na"",""często"",""czasem""]"
hej,2,,"[""co"",""tam"",""robisz"",""jak tam?%e"",""co tam słychać?%e""]"
i,1,,"[""potem"",""wtedy"",""dlatego"",""jeszcze"",""nagle"",""zaraz""]"
internet,1,,"[""jest"",""działa"",""ma"",""wolny""]"
internetowa,1,,"[""jest"",""ma"",""działa"",""szybka""]"
ja,1,,"[""jestem"",""mam"",""chcę"",""lubię"",""mogę"",""muszę"",""widzę"",""myślę"",""znam"",""robię"",""czasem"",""naprawdę""]"
jak,1,,"[""to"",""zrobić"",""tam"",""działa"",""się"",""mogę"",""wygląda"",""leci?%e"",""masz""]"
javascript,1,,"[""jest"",""ma"",""działa"",""może"",""jest szybki%e"",""obsługuje"",""umie"",""jest szybki i""]"
jest,1,,"[""bardzo"",""trochę"",""trudne"",""chyba"",""naprawdę"",""dobre"",""super"",""trudne"",""fajne"",""dziwne"",""możliwe"",""ok""]"
js,1,,"[""jest"",""ma"",""działa"",""może"",""lekki""]"
json,43,,"[""z"",""danymi"",""ma"",""strukturę"",""format""]"
jutro,28,,"[""zrobię"",""ogarnę"",""spróbuję"",""napiszę""]"
kiedy,1,,"[""to"",""się"",""zaczyna"",""kończy"",""dokładnie""]"
kod,1,,"[""jest"",""działa"",""ma"",""może"",""prosty""]"
koduję,12,,"[""projekt"",""api"",""backend"",""frontend""]"
komputer,1,,"[""jest"",""ma"",""może"",""działa"",""czasem""]"
konto,48,,"[""ma"",""tworzy"",""użytkownik"",""posiada""]"
łatwe,34,,"[""i"",""przyjemne"",""szybkie"",""fajne""]"
loguje,47,,"[""się"",""użytkownik"",""do"",""systemu""]"
lubię,1,,"[""programować"",""kodować"",""grać"",""czytać"",""oglądać"",""słuchać"",""testować""]"
mam,1,,"[""problem"",""pytanie"",""pomysł"",""czas"",""ochotę"",""plan"",""nadzieję"",""sprawę"",""projetk""]"
model,1,,"[""ai"",""jest"",""ma"",""uczy się""]"
mogę,1,,"[""zrobić"",""spróbować"",""pomóc"",""sprawdzić"",""zobaczyć"",""poczekać""]"
może,1,,"[""tak"",""nie"",""spróbuję"",""zrobię"",""kiedyś"",""będzie"",""uda się"",""uda mi się"",""uda""]"
muszę,1,,"[""zrobić"",""iść"",""sprawdzić"",""poczekać"",""napisać"",""skończyć""]"
na,1,,"[""komputerze"",""telefonie"",""stronie"",""serwerze"",""ziemi"",""projekcie""]"
nie,1,,"[""wiem"",""chcę"",""mogę"",""jestem"",""mam"",""do końca"",""działa"",""rozumiem""]"
node,39,,"[""js"",""backend"",""api"",""server""]"
oglądam,11,,"[""filmy"",""seriale"",""youtube"",""tiktoki""]"
on,1,,"[""jest"",""ma"",""chce"",""lubi"",""może"",""musi"",""widzi"",""myśli"",""czasem""]"
ona,1,,"[""jest"",""ma"",""chce"",""lubi"",""może"",""musi"",""widzi"",""często""]"
piszę,22,,"[""kod"",""projekt"",""api"",""backend""]"
potem,1,,"[""może"",""zobaczymy"",""spróbuję"",""później""]"
problem,24,,"[""z"",""kodem"",""z"",""api"",""z"",""bazą""]"
program,1,,"[""działa"",""ma"",""jest"",""prosty""]"
programować,1,,"[""w"",""na"",""bo"",""ponieważ"",""gdy"",""często""]"
programowania,37,,"[""w"",""na"",""z"",""przez""]"
projekt,14,,"[""jest"",""ma"",""będzie"",""działa""]"
robię,21,,"[""projekt"",""api"",""stronę"",""system""]"
robisz,7,,"[""teraz"",""dzisiaj"",""wieczorem""]"
robot,1,,"[""jest"",""ma"",""może"",""działa""]"
są,1,,"[""bardzo"",""trochę"",""chyba"",""naprawdę"",""różne""]"
server,40,,"[""działa"",""obsługuje"",""ma"",""przyjmuje""]"
się,36,,"[""uczę"",""bawię"",""zastanawiam"",""staram""]"
siema,3,,"[""co"",""tam"",""robisz"",""u"",""ciebie""]"
strona,1,,"[""internetowa"",""ma"",""działa"",""ładna""]"
super,1,,"[""pomysł"",""sprawa"",""gra"",""opcja""]"
system,1,,"[""ma"",""jest"",""działa"",""jest stabilny%e"",""obsługuje"",""zarządza"",""istnieje"",""powoduje"",""mój"",""u mnie""]"
sztuczna inteligencja,1,,"[""jest"",""może"",""ma"",""robi"",""pomaga""]"
tak,1,,"[""naprawdę"",""chyba"",""po"",""trochu"",""bardzo"",""dokładnie""]"
tam,1,,"[""jest"",""było"",""będzie"",""daleko"",""słychać?%e"",""słychać u ciebie?%e"",""u"",""u ciebie"",""się"",""się dzieje""]"
teraz,1,,"[""jest"",""mogę"",""zrobię"",""sprawdzę"",""zaraz"",""nic"",""coś"",""pracuję"",""robię""]"
to,1,,"[""jest"",""było"",""ma"",""będzie"",""może"",""chyba"",""pewnie"",""naprawdę"",""raczej""]"
trudne,33,,"[""ale"",""do"",""ogarnąć"",""da""]"
tu,1,,"[""jest"",""było"",""będzie"",""teraz""]"
tworzę,13,,"[""projekt"",""aplikację"",""stronę"",""system""]"
ty,1,,"[""jesteś"",""masz"",""chcesz"",""lubisz"",""możesz"",""musisz"",""widzisz"",""myślisz"",""chyba""]"
uczę,35,,"[""się"",""kodu"",""programowania"",""api""]"
użytkownik,46,,"[""ma"",""robi"",""tworzy"",""loguje""]"
w,1,,"[""grę"",""domu"",""szkole"",""pracy"",""internecie"",""nocy"",""dzień"",""tym""]"
wiem,1,,"[""że"",""co"",""jak"",""dlaczego"",""kiedy""]"
z,1,,"[""tobą"",""nim"",""nią"",""nimi"",""kolegą"",""koleżanką"",""kimś""]"
że,1,,"[""to"",""tak"",""nie"",""może"",""jest"",""chyba""]"
źle,1,,"[""się"",""to"",""jest"",""trochę""]"
zwraca,42,,"[""dane"",""json"",""wynik"",""info""]"
